name,hb
Ian Happ,2
Anthony Santander,2
Bryan Reynolds,2
Leody Taveras,2
Willi Castro,2
Dylan Carlson,2
Aaron Hicks,2
Sam Haggerty,2
Oswaldo Cabrera,2
Blake Perkins,2
Drew Waters,2
Jurickson Profar,2
Greg Allen,2
Roman Quinn,2
Jasson Domínguez,2
Skye Bolt,2
Robbie Grossman,2
Marwin Gonzalez,2
Bryce Johnson,2
Billy Hamilton,2
Henry Ramos,2
Victor Reyes,2
Abraham Almonte,2
Cole Tucker,2
Cooper Hummel,2
Leury García,2
Vidal Bruján,2
Michael Toglia,2
