"","LF.Season","LF.Name","LF.Team.x","LF.G","LF.AB","LF.PA","LF.H","LF.B1","LF.B2","LF.B3","LF.HR","LF.R","LF.RBI","LF.BB","LF.IBB","LF.SO","LF.HBP","LF.SF","LF.SH","LF.GDP","LF.SB","LF.CS","LF.AVG","LF.BB_perc","LF.K_perc","LF.ISO","LF.BABIP","LF.OBP","LF.SLG","LF.wOBA","LF.wRC.","LF.BsR","LF.Off","LF.WAR","LF.Team.y","LF.Position","LF.score","LF.perPA","LF.perAB"
"175",2023,"Heston Kjerstad","BAL",13,30,33,7,4,1,0,2,3,3,2,0,10,0,0,0,0,0,0,0.233,0.061,0.303,0.233,0.278,0.281,0.467,0.318,104,0,0.1,0.1,"BAL","LF",12,0.363636363636364,0.4
"176",2023,"Andrew Stevenson","MIN",25,37,40,7,6,1,0,0,4,1,2,0,8,1,0,0,0,4,1,0.189,0.05,0.2,0.027,0.241,0.25,0.216,0.216,32,0.5,-2.7,0,"MIN","LF",11,0.275,0.297297297297297
"177",2023,"Travis Blankenhorn","WSN",10,31,37,5,4,0,0,1,2,1,6,0,6,0,0,0,0,0,0,0.161,0.162,0.162,0.097,0.167,0.297,0.258,0.262,61,0.1,-1.7,-0.1,"WSN","LF",11,0.297297297297297,0.354838709677419
"178",2023,"J.P. Martínez","TEX",17,40,44,9,7,1,0,1,7,4,2,0,16,0,2,0,0,0,0,0.225,0.045,0.364,0.1,0.32,0.25,0.325,0.246,49,0.4,-2.3,-0.3,"TEX","LF",10,0.227272727272727,0.25
"179",2023,"Franmil Reyes","KCR",19,59,65,11,9,0,0,2,5,7,4,0,24,0,2,0,3,0,0,0.186,0.062,0.369,0.102,0.257,0.231,0.288,0.227,34,-0.8,-5.9,-0.6,"KCR","LF",9,0.138461538461538,0.152542372881356
"180",2023,"Juan Yepez","STL",28,60,65,11,8,1,0,2,5,2,4,0,20,1,0,0,0,0,1,0.183,0.062,0.308,0.117,0.237,0.246,0.3,0.243,51,-1.1,-5.1,-0.6,"STL","LF",9,0.138461538461538,0.15
"181",2023,"Kyle Garlick","MIN",14,28,30,5,2,1,0,2,2,4,2,0,11,0,0,0,0,0,0,0.179,0.067,0.367,0.25,0.2,0.233,0.429,0.28,77,-0.2,-1.1,-0.1,"MIN","LF",9,0.3,0.321428571428571
"182",2023,"Nathan Lukes","TOR",29,26,31,5,3,1,1,0,4,2,4,0,9,0,1,0,1,0,0,0.192,0.129,0.29,0.115,0.278,0.29,0.308,0.266,67,0.4,-0.8,0,"TOR","LF",9,0.290322580645161,0.346153846153846
"183",2023,"Heliot Ramos","SFG",25,56,60,10,5,4,0,1,5,2,4,0,20,0,0,0,1,0,0,0.179,0.067,0.333,0.125,0.257,0.233,0.304,0.236,47,-0.4,-4.3,-0.4,"SFG","LF",8,0.133333333333333,0.142857142857143
"184",2023,"Ben Gamel","SDP",6,15,15,3,2,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0.2,0,0.133,0.067,0.231,0.2,0.267,0.201,25,0.2,-1.2,-0.1,"SDP","LF",6,0.4,0.4
"185",2023,"Everson Pereira","NYY",27,93,103,14,10,4,0,0,6,10,8,0,40,2,0,0,1,4,0,0.151,0.078,0.388,0.043,0.264,0.233,0.194,0.202,23,0.6,-8.8,-0.5,"NYY","LF",6,0.058252427184466,0.0645161290322581
"186",2023,"Austin Meadows","DET",6,21,21,5,4,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0.238,0,0.143,0.048,0.278,0.238,0.286,0.227,38,-0.1,-1.7,-0.2,"DET","LF",5,0.238095238095238,0.238095238095238
"187",2023,"Dalton Guthrie","PHI",23,24,28,4,3,1,0,0,4,0,3,0,7,1,0,0,0,0,0,0.167,0.107,0.25,0.042,0.235,0.286,0.208,0.239,45,0.4,-1.5,0.1,"PHI","LF",5,0.178571428571429,0.208333333333333
"188",2023,"Wade Meckler","SFG",20,56,64,13,12,1,0,0,6,4,6,0,25,2,0,0,0,0,0,0.232,0.094,0.391,0.018,0.419,0.328,0.25,0.273,72,1,-1.2,-0.1,"SFG","LF",5,0.078125,0.0892857142857143
"189",2023,"Canaan Smith-Njigba","PIT",15,32,37,4,2,1,1,0,3,5,4,0,16,0,1,0,1,1,0,0.125,0.108,0.432,0.094,0.235,0.216,0.219,0.199,17,-1.3,-5.1,-0.5,"PIT","LF",4,0.108108108108108,0.125
"190",2023,"Blake Rutherford","WSN",16,35,36,6,6,0,0,0,4,2,1,0,10,0,0,0,1,0,0,0.171,0.028,0.278,0,0.24,0.194,0.171,0.166,-4,-0.1,-4.7,-0.3,"WSN","LF",3,0.0833333333333333,0.0857142857142857
"191",2023,"TJ Hopkins","CIN",25,41,44,7,7,0,0,0,7,1,2,0,17,1,0,0,1,1,0,0.171,0.045,0.386,0,0.292,0.227,0.171,0.189,6,-0.1,-5.2,-0.6,"CIN","LF",1,0.0227272727272727,0.024390243902439
"192",2023,"Taylor Kohlwey","SDP",5,13,13,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.154,0,0.385,0,0.25,0.154,0.154,0.136,-19,0.1,-1.8,-0.2,"SDP","LF",-3,-0.230769230769231,-0.230769230769231
"193",2023,"Kyle Stowers","BAL",14,30,33,2,2,0,0,0,1,0,3,0,12,0,0,0,1,0,0,0.067,0.091,0.364,0,0.111,0.152,0.067,0.117,-36,-0.2,-5.6,-0.4,"BAL","LF",-6,-0.181818181818182,-0.2
"194",2023,"Jordyn Adams","LAA",17,39,40,5,5,0,0,0,1,1,0,0,16,0,1,0,0,1,2,0.128,0,0.4,0,0.208,0.125,0.128,0.11,-44,-0.6,-7.5,-1,"LAA","LF",-8,-0.2,-0.205128205128205
"195",2023,"Nate Eaton","KCR",28,53,56,4,4,0,0,0,2,1,2,0,21,1,0,0,0,3,0,0.075,0.036,0.375,0,0.125,0.125,0.075,0.101,-53,0.9,-9.3,-0.8,"KCR","LF",-9,-0.160714285714286,-0.169811320754717
