"","X3B.Season","X3B.Name","X3B.Team.x","X3B.G","X3B.AB","X3B.PA","X3B.H","X3B.B1","X3B.B2","X3B.B3","X3B.HR","X3B.R","X3B.RBI","X3B.BB","X3B.IBB","X3B.SO","X3B.HBP","X3B.SF","X3B.SH","X3B.GDP","X3B.SB","X3B.CS","X3B.AVG","X3B.BB_perc","X3B.K_perc","X3B.ISO","X3B.BABIP","X3B.OBP","X3B.SLG","X3B.wOBA","X3B.wRC.","X3B.BsR","X3B.Off","X3B.WAR","X3B.Team.y","X3B.Position","X3B.score","X3B.perPA","X3B.perAB"
"1",2023,"José Ramírez","CLE",156,611,691,172,107,36,5,24,87,80,73,22,73,1,6,0,8,28,6,0.282,0.106,0.106,0.193,0.285,0.356,0.475,0.346,123,7,26,5.1,"CLE","3B",507,0.733719247467438,0.829787234042553
"2",2023,"Alex Bregman","HOU",161,622,724,163,106,28,4,25,103,98,92,1,87,8,2,0,22,3,1,0.262,0.127,0.12,0.178,0.27,0.363,0.441,0.351,125,-5.1,16.8,4.3,"HOU","3B",484,0.668508287292818,0.778135048231511
"3",2023,"Austin Riley","ATL",159,636,715,179,107,32,3,37,117,97,59,4,172,9,11,0,18,3,1,0.281,0.083,0.241,0.234,0.324,0.345,0.516,0.363,127,2.1,25.9,5.2,"ATL","3B",436,0.60979020979021,0.685534591194969
"4",2023,"Rafael Devers","BOS",153,580,656,157,90,34,0,33,90,100,62,10,126,11,3,0,15,5,1,0.271,0.095,0.192,0.229,0.292,0.351,0.5,0.359,124,-3.8,14.9,3.1,"BOS","3B",431,0.657012195121951,0.743103448275862
"5",2023,"Yandy Díaz","TBR",137,525,600,173,116,35,0,22,95,78,65,0,94,8,2,0,16,0,1,0.33,0.108,0.157,0.192,0.367,0.41,0.522,0.402,164,-7,39.1,4.7,"TBR","3B",418,0.696666666666667,0.796190476190476
"6",2023,"Justin Turner","BOS",146,558,626,154,100,31,0,23,86,96,51,0,110,11,6,0,10,4,1,0.276,0.081,0.176,0.179,0.304,0.345,0.455,0.346,114,-3.5,7.4,1.2,"BOS","3B",381,0.608626198083067,0.682795698924731
"7",2023,"Spencer Steer","CIN",156,582,665,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,0.271,0.102,0.209,0.192,0.318,0.356,0.464,0.355,118,1.7,16.4,2.1,"CIN","3B",374,0.562406015037594,0.642611683848797
"8",2023,"Nolan Arenado","STL",144,560,612,149,95,26,2,26,71,93,41,5,101,3,8,0,21,3,3,0.266,0.067,0.165,0.193,0.279,0.315,0.459,0.327,107,-3.3,1.9,2.6,"STL","3B",369,0.602941176470588,0.658928571428571
"9",2023,"Alec Bohm","PHI",145,558,611,153,102,31,0,20,74,97,42,1,94,5,6,0,23,4,1,0.274,0.069,0.154,0.163,0.296,0.327,0.437,0.329,105,-7.2,-3.1,1.1,"PHI","3B",368,0.602291325695581,0.659498207885305
"10",2023,"Max Muncy","LAD",135,482,579,102,48,17,1,36,95,105,85,4,153,6,6,0,8,1,2,0.212,0.147,0.264,0.263,0.221,0.333,0.475,0.344,118,0.9,14,2.9,"LAD","3B",366,0.632124352331606,0.759336099585062
