"","X2B.Season","X2B.Name","X2B.Team.x","X2B.G","X2B.AB","X2B.PA","X2B.H","X2B.B1","X2B.B2","X2B.B3","X2B.HR","X2B.R","X2B.RBI","X2B.BB","X2B.IBB","X2B.SO","X2B.HBP","X2B.SF","X2B.SH","X2B.GDP","X2B.SB","X2B.CS","X2B.AVG","X2B.BB_perc","X2B.K_perc","X2B.ISO","X2B.BABIP","X2B.OBP","X2B.SLG","X2B.wOBA","X2B.wRC.","X2B.BsR","X2B.Off","X2B.WAR","X2B.Team.y","X2B.Position","X2B.score","X2B.perPA","X2B.perAB"
"1",2023,"Mookie Betts","LAD",152,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,0.307,0.139,0.154,0.272,0.316,0.408,0.579,0.416,167,3.5,60.8,8.3,"LAD","2B",577,0.832611832611833,0.988013698630137
"2",2023,"Marcus Semien","TEX",162,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,5,14,3,0.276,0.096,0.146,0.201,0.291,0.348,0.478,0.354,124,2.5,24.3,6.3,"TEX","2B",519,0.689243027888446,0.774626865671642
"3",2023,"Ozzie Albies","ATL",148,596,660,167,99,30,5,33,96,109,46,2,107,8,8,0,9,13,1,0.28,0.07,0.162,0.233,0.289,0.336,0.513,0.358,124,4.4,24,4,"ATL","2B",465,0.704545454545455,0.780201342281879
"4",2023,"Ketel Marte","ARI",150,569,650,157,97,26,9,25,94,82,71,2,109,5,5,0,16,8,2,0.276,0.109,0.168,0.209,0.3,0.358,0.485,0.361,127,-3.2,18.4,4.2,"ARI","2B",424,0.652307692307692,0.745166959578207
"5",2023,"Luis Arraez","MIA",147,574,617,203,160,30,3,10,71,69,35,10,34,4,3,1,18,3,2,0.354,0.057,0.055,0.115,0.362,0.393,0.469,0.369,132,-2.6,21.9,3.4,"MIA","2B",423,0.685575364667747,0.736933797909408
"6",2023,"Nico Hoerner","CHC",150,619,688,175,135,27,4,9,98,68,49,0,83,14,5,1,12,43,7,0.283,0.071,0.121,0.1,0.312,0.346,0.383,0.322,102,9.7,11.5,4.7,"CHC","2B",412,0.598837209302326,0.665589660743134
"7",2023,"Gleyber Torres","NYY",158,596,672,163,108,28,2,25,90,68,67,0,98,3,6,0,19,13,6,0.273,0.1,0.146,0.18,0.288,0.347,0.453,0.346,123,-4.8,13.4,3.2,"NYY","2B",410,0.610119047619048,0.687919463087248
"8",2023,"Justin Turner","BOS",146,558,626,154,100,31,0,23,86,96,51,0,110,11,6,0,10,4,1,0.276,0.081,0.176,0.179,0.304,0.345,0.455,0.346,114,-3.5,7.4,1.2,"BOS","2B",381,0.608626198083067,0.682795698924731
"9",2023,"Spencer Steer","CIN",156,582,665,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,0.271,0.102,0.209,0.192,0.318,0.356,0.464,0.355,118,1.7,16.4,2.1,"CIN","2B",374,0.562406015037594,0.642611683848797
"10",2023,"Isaac Paredes","TBR",143,492,571,123,68,24,0,31,71,98,58,0,104,20,1,0,11,1,0,0.25,0.102,0.182,0.238,0.257,0.352,0.488,0.362,137,-1,24.1,4.3,"TBR","2B",364,0.637478108581436,0.739837398373984
"11",2023,"Bryson Stott","PHI",151,585,640,164,115,32,2,15,78,62,39,1,100,7,8,1,10,31,3,0.28,0.061,0.156,0.138,0.312,0.329,0.419,0.323,101,5.3,6.2,3.9,"PHI","2B",356,0.55625,0.608547008547008
"12",2023,"Ha-Seong Kim","SDP",152,538,626,140,100,23,0,17,84,60,75,1,124,3,5,5,7,38,9,0.26,0.12,0.198,0.138,0.306,0.351,0.398,0.33,112,5.1,14.1,4.4,"SDP","2B",348,0.55591054313099,0.646840148698885
"13",2023,"Jeff McNeil","NYM",156,585,648,158,119,25,4,10,75,55,39,0,65,18,3,3,5,10,0,0.27,0.06,0.1,0.108,0.288,0.333,0.378,0.314,100,1.7,2,2.6,"NYM","2B",335,0.516975308641975,0.572649572649573
"14",2023,"Andrés Giménez","CLE",153,557,616,140,93,27,5,15,76,62,32,3,112,20,3,4,10,30,6,0.251,0.052,0.182,0.147,0.289,0.314,0.399,0.309,97,2.6,0.7,3.6,"CLE","2B",313,0.508116883116883,0.561938958707361
"15",2023,"Whit Merrifield","TOR",145,547,592,149,111,27,0,11,66,67,36,2,101,3,6,0,15,26,10,0.272,0.061,0.171,0.11,0.313,0.318,0.382,0.304,93,1,-3.8,1.5,"TOR","2B",305,0.515202702702703,0.557586837294333
"16",2023,"Jose Altuve","HOU",90,360,410,112,72,21,2,17,76,51,44,0,71,5,1,0,9,14,2,0.311,0.107,0.173,0.211,0.348,0.393,0.522,0.393,154,-0.7,26,4,"HOU","2B",302,0.736585365853659,0.838888888888889
