"","CF.Season","CF.Name","CF.Team.x","CF.G","CF.AB","CF.PA","CF.H","CF.B1","CF.B2","CF.B3","CF.HR","CF.R","CF.RBI","CF.BB","CF.IBB","CF.SO","CF.HBP","CF.SF","CF.SH","CF.GDP","CF.SB","CF.CS","CF.AVG","CF.BB_perc","CF.K_perc","CF.ISO","CF.BABIP","CF.OBP","CF.SLG","CF.wOBA","CF.wRC.","CF.BsR","CF.Off","CF.WAR","CF.Team.y","CF.Position","CF.score","CF.perPA","CF.perAB"
"23",2023,"Mauricio Dubón","HOU",132,467,492,130,91,26,3,10,76,46,19,0,70,3,3,0,10,7,2,0.278,0.039,0.142,0.133,0.308,0.309,0.411,0.311,97,0.1,-1.6,1.9,"HOU","CF",270,0.548780487804878,0.578158458244111
"24",2023,"Chas McCormick","HOU",115,403,457,110,69,17,2,22,59,70,40,0,117,11,2,1,3,19,6,0.273,0.088,0.256,0.216,0.331,0.353,0.489,0.362,133,1.7,19.7,3.8,"HOU","CF",268,0.586433260393873,0.665012406947891
"25",2023,"Jack Suwinski","PIT",144,447,534,100,51,21,2,26,63,74,75,2,172,6,6,0,2,13,2,0.224,0.14,0.322,0.23,0.29,0.339,0.454,0.341,112,5,13.2,2.8,"PIT","CF",258,0.48314606741573,0.577181208053691
"26",2023,"Daulton Varsho","TOR",158,527,581,116,70,23,3,20,65,61,45,0,135,4,3,1,5,16,7,0.22,0.077,0.232,0.169,0.256,0.285,0.389,0.293,85,2.8,-7.5,2.1,"TOR","CF",257,0.442340791738382,0.487666034155598
"27",2023,"Cedric Mullins","BAL",116,404,455,94,53,23,3,15,51,74,43,1,101,1,4,3,6,19,3,0.233,0.095,0.222,0.183,0.271,0.305,0.416,0.311,99,3.3,2.6,1.8,"BAL","CF",255,0.56043956043956,0.631188118811881
"28",2023,"Luis Rengifo","LAA",126,394,445,104,69,15,4,16,55,51,41,0,82,6,4,0,3,6,4,0.264,0.092,0.184,0.18,0.293,0.339,0.444,0.339,114,0.1,7.6,1.9,"LAA","CF",246,0.552808988764045,0.624365482233503
"29",2023,"Randal Grichuk","2 Tms",118,434,471,116,67,31,2,16,65,44,29,2,96,6,2,0,11,2,2,0.267,0.062,0.204,0.191,0.309,0.321,0.459,0.333,100,-2.9,-2.6,0.7,"2 Tms","CF",245,0.520169851380042,0.564516129032258
"30",2023,"Christopher Morel","CHC",107,388,429,96,50,17,3,26,62,70,36,0,133,2,2,1,7,6,2,0.247,0.084,0.31,0.26,0.303,0.313,0.508,0.347,119,2.3,12.3,1.4,"CHC","CF",238,0.554778554778555,0.61340206185567
"31",2023,"Esteury Ruiz","OAK",132,449,497,114,84,24,1,5,47,47,20,1,99,16,1,4,7,67,13,0.254,0.04,0.199,0.091,0.315,0.309,0.345,0.29,86,9.2,1.1,1.2,"OAK","CF",238,0.47887323943662,0.530066815144766
"32",2023,"Matt Vierling","DET",134,479,530,125,89,21,5,10,63,44,44,1,112,5,1,1,8,6,6,0.261,0.083,0.211,0.127,0.321,0.329,0.388,0.315,99,-0.7,-1.4,1.2,"DET","CF",232,0.437735849056604,0.484342379958246
