"","RF.Season","RF.Name","RF.Team.x","RF.G","RF.AB","RF.PA","RF.H","RF.B1","RF.B2","RF.B3","RF.HR","RF.R","RF.RBI","RF.BB","RF.IBB","RF.SO","RF.HBP","RF.SF","RF.SH","RF.GDP","RF.SB","RF.CS","RF.AVG","RF.BB_perc","RF.K_perc","RF.ISO","RF.BABIP","RF.OBP","RF.SLG","RF.wOBA","RF.wRC.","RF.BsR","RF.Off","RF.WAR","RF.Team.y","RF.Position","RF.score","RF.perPA","RF.perAB"
"20",2023,"Tommy Edman","STL",137,479,528,119,77,25,4,13,69,47,35,1,84,7,4,3,9,27,4,0.248,0.066,0.159,0.15,0.275,0.307,0.399,0.306,92,1.8,-3.2,2.3,"STL","RF",286,0.541666666666667,0.597077244258873
"21",2023,"Lars Nootbaar","STL",117,426,503,111,73,23,1,14,74,46,72,2,99,1,3,1,7,11,1,0.261,0.143,0.197,0.157,0.307,0.367,0.418,0.344,118,2.2,13.5,3.2,"STL","RF",284,0.564612326043738,0.666666666666667
"22",2023,"Bryan De La Cruz","MIA",153,579,626,149,98,32,0,19,60,78,40,0,142,1,5,0,18,4,1,0.257,0.064,0.227,0.154,0.307,0.304,0.411,0.309,92,-2.7,-9.2,0.2,"MIA","RF",278,0.44408945686901,0.48013816925734
"23",2023,"Austin Hays","BAL",144,520,566,143,89,36,2,16,76,67,38,1,141,3,5,0,11,5,1,0.275,0.067,0.249,0.169,0.345,0.325,0.444,0.33,112,-3.9,4.3,2.2,"BAL","RF",277,0.489399293286219,0.532692307692308
"24",2023,"Tommy Pham","2 Tms",129,426,481,109,63,27,3,16,55,68,47,1,106,2,6,0,11,22,3,0.256,0.098,0.22,0.19,0.3,0.328,0.446,0.332,110,3.1,9.2,1.8,"ARI","RF",277,0.575883575883576,0.650234741784038
"25",2023,"LaMonte Wade Jr.","SFG",135,429,519,110,77,14,2,17,64,45,76,3,95,6,4,4,4,2,0,0.256,0.146,0.183,0.161,0.29,0.373,0.417,0.347,122,-0.2,13.7,2.1,"SFG","RF",274,0.527938342967245,0.638694638694639
"26",2023,"James Outman","LAD",151,483,567,120,78,16,3,23,86,70,68,1,181,12,4,0,4,16,3,0.248,0.12,0.319,0.188,0.343,0.353,0.437,0.344,118,5.7,18.6,4.4,"LAD","RF",271,0.477954144620811,0.561076604554865
"27",2023,"Nolan Jones","COL",106,367,424,109,63,22,4,20,60,62,53,3,126,3,1,0,1,20,4,0.297,0.125,0.297,0.245,0.401,0.389,0.542,0.395,135,3,21.4,3.7,"COL","RF",271,0.639150943396226,0.73841961852861
"28",2023,"Teoscar Hernández","SEA",160,625,678,161,104,29,2,26,70,93,38,2,211,8,7,0,6,7,2,0.258,0.056,0.311,0.178,0.342,0.305,0.435,0.317,105,-2.9,0.9,1.8,"SEA","RF",271,0.399705014749263,0.4336
"29",2023,"Mark Canha","2 Tms",139,435,507,114,77,25,1,11,51,62,49,1,79,17,6,0,11,11,1,0.262,0.097,0.156,0.138,0.293,0.355,0.4,0.333,111,0.9,7.7,1.6,"2 Tms","RF",269,0.530571992110454,0.618390804597701
"30",2023,"Chas McCormick","HOU",115,403,457,110,69,17,2,22,59,70,40,0,117,11,2,1,3,19,6,0.273,0.088,0.256,0.216,0.331,0.353,0.489,0.362,133,1.7,19.7,3.8,"HOU","RF",268,0.586433260393873,0.665012406947891
"31",2023,"Harold Ramírez","TBR",122,400,434,125,92,19,2,12,58,68,22,0,79,6,6,0,7,5,3,0.313,0.051,0.182,0.148,0.359,0.353,0.46,0.349,128,1.5,16,1.8,"TBR","RF",258,0.594470046082949,0.645
"32",2023,"Jack Suwinski","PIT",144,447,534,100,51,21,2,26,63,74,75,2,172,6,6,0,2,13,2,0.224,0.14,0.322,0.23,0.29,0.339,0.454,0.341,112,5,13.2,2.8,"PIT","RF",258,0.48314606741573,0.577181208053691
"33",2023,"Adam Frazier","BAL",141,412,455,99,63,21,2,13,59,60,32,0,68,4,2,4,4,11,4,0.24,0.07,0.149,0.155,0.258,0.3,0.396,0.302,93,2.1,-1.7,0.3,"BAL","RF",257,0.564835164835165,0.62378640776699
"34",2023,"Eloy Jiménez","CHW",120,456,489,124,83,23,0,18,50,64,30,2,93,1,2,0,13,0,0,0.272,0.061,0.19,0.169,0.305,0.317,0.441,0.325,105,-2.7,0.3,0.4,"CHW","RF",254,0.519427402862986,0.557017543859649
"35",2023,"Hunter Renfroe","2 Tms",140,498,548,116,65,31,0,20,60,60,44,0,125,3,3,0,15,0,0,0.233,0.08,0.228,0.183,0.27,0.297,0.416,0.308,92,-1.5,-6.6,0.6,"2 Tms","RF",246,0.448905109489051,0.493975903614458
"36",2023,"Luis Rengifo","LAA",126,394,445,104,69,15,4,16,55,51,41,0,82,6,4,0,3,6,4,0.264,0.092,0.184,0.18,0.293,0.339,0.444,0.339,114,0.1,7.6,1.9,"LAA","RF",246,0.552808988764045,0.624365482233503
"37",2023,"Randal Grichuk","2 Tms",118,434,471,116,67,31,2,16,65,44,29,2,96,6,2,0,11,2,2,0.267,0.062,0.204,0.191,0.309,0.321,0.459,0.333,100,-2.9,-2.6,0.7,"COL","RF",245,0.520169851380042,0.564516129032258
"38",2023,"Jake Fraley","CIN",111,336,380,86,53,18,0,15,41,65,37,2,71,6,1,0,5,21,5,0.256,0.097,0.187,0.188,0.283,0.339,0.443,0.338,107,1.9,5.1,1.4,"CIN","RF",244,0.642105263157895,0.726190476190476
"39",2023,"Kerry Carpenter","DET",118,418,459,116,77,17,2,20,57,64,32,3,115,8,1,0,5,6,0,0.278,0.07,0.251,0.194,0.338,0.34,0.471,0.347,121,-0.1,11.7,2.2,"DET","RF",244,0.531590413943355,0.583732057416268
"40",2023,"Charlie Blackmon","COL",96,359,413,100,63,24,5,8,57,40,39,0,55,11,4,0,6,4,1,0.279,0.094,0.133,0.162,0.307,0.363,0.44,0.35,105,-1.8,0.6,0.8,"COL","RF",243,0.588377723970944,0.676880222841226
"41",2023,"Andrew McCutchen","PIT",112,390,473,100,69,19,0,12,55,43,75,1,100,4,4,0,8,11,3,0.256,0.159,0.211,0.141,0.312,0.378,0.397,0.345,115,-1.7,7.2,1.2,"PIT","RF",240,0.507399577167019,0.615384615384615
"42",2023,"Brent Rooker","OAK",137,463,526,114,63,20,1,30,61,69,49,1,172,10,4,0,11,4,0,0.246,0.093,0.327,0.242,0.317,0.329,0.488,0.348,127,0,17,2,"OAK","RF",238,0.452471482889734,0.514038876889849
"43",2023,"Christopher Morel","CHC",107,388,429,96,50,17,3,26,62,70,36,0,133,2,2,1,7,6,2,0.247,0.084,0.31,0.26,0.303,0.313,0.508,0.347,119,2.3,12.3,1.4,"CHC","RF",238,0.554778554778555,0.61340206185567
"44",2023,"Esteury Ruiz","OAK",132,449,497,114,84,24,1,5,47,47,20,1,99,16,1,4,7,67,13,0.254,0.04,0.199,0.091,0.315,0.309,0.345,0.29,86,9.2,1.1,1.2,"OAK","RF",238,0.47887323943662,0.530066815144766
"45",2023,"Joc Pederson","SFG",121,358,425,84,52,14,3,15,59,51,57,6,89,7,3,0,12,0,0,0.235,0.134,0.209,0.182,0.268,0.348,0.416,0.331,111,-1.2,4.4,0.6,"SFG","RF",233,0.548235294117647,0.650837988826816
"46",2023,"MJ Melendez","KCR",148,533,602,125,75,29,5,16,65,56,62,2,170,3,4,0,4,6,4,0.235,0.103,0.282,0.163,0.311,0.316,0.398,0.31,92,-0.9,-6.7,0,"KCR","RF",233,0.387043189368771,0.437148217636023
"47",2023,"Matt Vierling","DET",134,479,530,125,89,21,5,10,63,44,44,1,112,5,1,1,8,6,6,0.261,0.083,0.211,0.127,0.321,0.329,0.388,0.315,99,-0.7,-1.4,1.2,"DET","RF",232,0.437735849056604,0.484342379958246
"48",2023,"Jurickson Profar","2 Tms",125,459,521,111,73,27,2,9,55,46,50,0,90,6,5,0,11,1,0,0.242,0.096,0.173,0.126,0.279,0.321,0.368,0.304,76,-3,-18.4,-2,"SDP","RF",231,0.443378119001919,0.503267973856209
"49",2023,"Brandon Marsh","PHI",133,404,472,112,69,25,6,12,58,60,59,2,144,4,4,1,4,10,2,0.277,0.125,0.305,0.181,0.397,0.372,0.458,0.358,125,3.1,17.5,3.4,"PHI","RF",230,0.48728813559322,0.569306930693069
