"","C.Season","C.Name","C.Team.x","C.G","C.AB","C.PA","C.H","C.B1","C.B2","C.B3","C.HR","C.R","C.RBI","C.BB","C.IBB","C.SO","C.HBP","C.SF","C.SH","C.GDP","C.SB","C.CS","C.AVG","C.BB_perc","C.K_perc","C.ISO","C.BABIP","C.OBP","C.SLG","C.wOBA","C.wRC.","C.BsR","C.Off","C.WAR","C.Team.y","C.Position","C.score","C.perPA","C.perAB"
"46",2023,"Carlos Pérez","OAK",68,168,189,38,28,4,0,6,17,20,13,0,40,4,3,1,4,0,0,0.226,0.069,0.212,0.131,0.256,0.293,0.357,0.285,84,-0.7,-4.5,0.1,"OAK","C",70,0.37037037037037,0.416666666666667
"47",2023,"Carlos Pérez","OAK",68,168,189,38,28,4,0,6,17,20,13,0,40,4,3,1,4,0,0,0.226,0.069,0.212,0.131,0.256,0.293,0.357,0.285,84,-0.7,-4.5,0.1,"CHW","C",70,0.37037037037037,0.416666666666667
"48",2023,"Endy Rodríguez","PIT",57,186,204,41,29,7,2,3,27,13,17,0,49,0,1,0,3,0,0,0.22,0.083,0.24,0.108,0.281,0.284,0.328,0.271,65,0.2,-8.5,0.7,"PIT","C",69,0.338235294117647,0.370967741935484
"49",2023,"Francisco Mejía","TBR",50,150,160,34,18,11,0,5,22,19,6,0,38,1,2,1,2,0,1,0.227,0.038,0.238,0.173,0.266,0.258,0.4,0.28,80,-0.8,-4.7,-0.3,"TBR","C",69,0.43125,0.46
"50",2023,"Eric Haase","2 Tms",89,274,293,55,42,8,1,4,22,26,17,1,81,0,1,1,11,4,1,0.201,0.058,0.276,0.08,0.268,0.247,0.281,0.233,42,-2.9,-23.2,-1.4,"2 Tms","C",66,0.225255972696246,0.240875912408759
"51",2023,"Jason Delay","PIT",70,167,187,42,29,11,1,1,20,18,14,0,44,3,1,2,5,0,0,0.251,0.075,0.235,0.096,0.333,0.319,0.347,0.296,82,-1,-5.1,1.1,"PIT","C",66,0.352941176470588,0.395209580838323
"52",2023,"Jose Trevino","NYY",55,157,168,33,25,4,0,4,15,15,8,0,22,2,0,1,6,0,0,0.21,0.048,0.131,0.102,0.221,0.257,0.312,0.252,58,-1.5,-10,0.9,"NYY","C",65,0.386904761904762,0.414012738853503
"53",2023,"Riley Adams","WSN",44,143,158,39,20,13,2,4,8,21,11,0,45,2,1,1,5,0,0,0.273,0.07,0.285,0.203,0.368,0.331,0.476,0.344,116,-0.4,2.7,0.4,"WSN","C",63,0.39873417721519,0.440559440559441
"54",2023,"Reese McGuire","BOS",72,187,206,50,36,12,1,1,15,16,11,0,53,1,1,2,2,2,1,0.267,0.053,0.257,0.091,0.366,0.31,0.358,0.293,78,-2.1,-7.5,0.3,"BOS","C",58,0.281553398058252,0.310160427807487
"55",2023,"Miguel Amaya","CHC",53,131,156,28,19,4,0,5,17,18,12,0,40,11,1,1,2,0,0,0.214,0.077,0.256,0.145,0.264,0.329,0.359,0.31,94,0,-1.2,0.6,"CHC","C",54,0.346153846153846,0.412213740458015
"56",2023,"David Fry","CLE",58,101,113,24,14,6,0,4,12,15,8,0,30,4,0,0,3,2,0,0.238,0.071,0.265,0.178,0.299,0.319,0.416,0.321,106,0.6,1.4,0,"CLE","C",49,0.433628318584071,0.485148514851485
"57",2023,"Chad Wallach","LAA",65,157,172,31,18,5,1,7,18,15,13,0,57,0,0,2,5,0,1,0.197,0.076,0.331,0.178,0.258,0.259,0.376,0.275,70,-0.9,-7.1,0.2,"LAA","C",48,0.27906976744186,0.305732484076433
"58",2023,"Austin Barnes","LAD",59,178,200,32,25,5,0,2,15,11,17,0,43,2,2,1,7,2,1,0.18,0.085,0.215,0.062,0.222,0.256,0.242,0.229,41,-1.9,-16.5,-0.8,"LAD","C",45,0.225,0.252808988764045
"59",2023,"Austin Wells","NYY",19,70,75,16,6,6,0,4,8,13,3,0,14,0,1,0,3,0,0,0.229,0.04,0.187,0.257,0.226,0.257,0.486,0.309,97,-0.1,-0.3,0.4,"NYY","C",44,0.586666666666667,0.628571428571429
"60",2023,"Omar Narváez","NYM",49,128,146,27,20,5,0,2,12,7,14,0,27,0,3,1,1,0,0,0.211,0.096,0.185,0.086,0.245,0.283,0.297,0.259,64,-0.5,-7,0,"NYM","C",44,0.301369863013699,0.34375
"61",2023,"Garrett Stubbs","PHI",41,113,125,23,17,4,1,1,15,12,9,0,29,2,0,1,0,2,0,0.204,0.072,0.232,0.08,0.265,0.274,0.283,0.252,54,0.9,-6.3,-0.3,"PHI","C",41,0.328,0.36283185840708
"62",2023,"René Pinto","TBR",39,103,105,26,17,3,0,6,10,16,2,0,34,0,0,0,2,0,0,0.252,0.019,0.324,0.204,0.317,0.267,0.456,0.306,98,-0.7,-1,0.7,"TBR","C",41,0.39047619047619,0.398058252427184
"63",2023,"Carson Kelly","2 Tms",52,136,151,28,21,5,0,2,13,13,14,0,40,0,1,0,2,1,0,0.206,0.093,0.265,0.081,0.274,0.278,0.287,0.255,56,0.5,-7.5,0.1,"2 Tms","C",40,0.264900662251656,0.294117647058824
"64",2023,"Austin Hedges","2 Tms",82,185,212,34,28,5,0,1,14,16,11,0,47,2,3,10,7,1,0,0.184,0.052,0.222,0.043,0.236,0.234,0.227,0.209,24,-0.3,-20.2,0.8,"2 Tms","C",37,0.174528301886792,0.2
"65",2023,"Seby Zavala","2 Tms",73,175,193,30,19,4,0,7,17,18,12,0,70,2,2,2,4,1,0,0.171,0.062,0.363,0.143,0.23,0.23,0.314,0.239,45,-1.3,-13.9,0.2,"2 Tms","C",33,0.170984455958549,0.188571428571429
"66",2023,"Jose Herrera","ARI",43,101,120,21,16,5,0,0,15,7,13,0,30,0,1,5,2,1,0,0.208,0.108,0.25,0.05,0.292,0.296,0.257,0.256,56,-1.1,-7.6,-0.7,"ARI","C",32,0.266666666666667,0.316831683168317
"67",2023,"Austin Nola","SDP",52,130,154,19,15,3,0,1,9,8,18,0,31,2,0,4,5,0,0,0.146,0.117,0.201,0.046,0.184,0.26,0.192,0.22,38,-0.4,-12.3,-1,"SDP","C",29,0.188311688311688,0.223076923076923
"68",2023,"Austin Wynns","3 Tms",51,130,145,27,20,6,0,1,11,10,9,0,39,2,1,3,4,1,0,0.208,0.062,0.269,0.069,0.286,0.268,0.277,0.245,37,-1.5,-13,0,"3 Tms","C",28,0.193103448275862,0.215384615384615
"69",2023,"Brett Sullivan","SDP",33,81,86,17,13,3,0,1,7,6,4,0,19,0,1,0,1,0,0,0.21,0.047,0.221,0.074,0.258,0.244,0.284,0.232,46,-0.2,-6,-0.5,"SDP","C",21,0.244186046511628,0.259259259259259
"70",2023,"Tyler Heineman","2 Tms",22,38,47,9,7,1,1,0,5,3,8,0,8,1,0,0,0,1,0,0.237,0.17,0.17,0.079,0.3,0.383,0.316,0.325,107,1,1.3,0.4,"2 Tms","C",21,0.446808510638298,0.552631578947368
"71",2023,"Drew Millas","WSN",11,28,33,8,5,2,0,1,1,6,4,0,5,0,0,1,2,0,0,0.286,0.121,0.152,0.179,0.318,0.375,0.464,0.365,130,-0.4,0.8,0.2,"WSN","C",19,0.575757575757576,0.678571428571429
"72",2023,"Carlos Pérez","CHW",27,49,53,10,5,4,0,1,5,3,4,0,11,0,0,0,2,0,0,0.204,0.075,0.208,0.143,0.243,0.264,0.347,0.267,65,-0.4,-2.6,-0.2,"OAK","C",18,0.339622641509434,0.36734693877551
"73",2023,"Carlos Pérez","CHW",27,49,53,10,5,4,0,1,5,3,4,0,11,0,0,0,2,0,0,0.204,0.075,0.208,0.143,0.243,0.264,0.347,0.267,65,-0.4,-2.6,-0.2,"CHW","C",18,0.339622641509434,0.36734693877551
"74",2023,"Curt Casali","CIN",40,80,96,14,12,2,0,0,8,6,11,0,23,2,0,3,1,0,0,0.175,0.115,0.24,0.025,0.246,0.29,0.2,0.239,40,0.3,-6.8,-0.2,"CIN","C",18,0.1875,0.225
"75",2023,"Sam Huff","TEX",21,43,45,11,6,2,0,3,5,6,2,0,17,0,0,0,1,0,0,0.256,0.044,0.378,0.256,0.348,0.289,0.512,0.337,113,0.1,0.8,0.1,"TEX","C",18,0.4,0.418604651162791
"76",2023,"Ben Rortvedt","NYY",32,68,79,8,5,1,0,2,6,4,11,0,19,0,0,0,1,0,0,0.118,0.139,0.241,0.103,0.128,0.241,0.221,0.219,35,0.1,-6.1,0.1,"NYY","C",17,0.215189873417722,0.25
"77",2023,"Iván Herrera","STL",13,37,44,11,9,2,0,0,6,4,5,0,11,2,0,0,1,0,0,0.297,0.114,0.25,0.054,0.423,0.409,0.351,0.349,122,0.6,1.7,0.5,"STL","C",17,0.386363636363636,0.459459459459459
"78",2023,"Joey Bart","SFG",30,87,95,18,13,5,0,0,9,5,3,0,23,4,1,0,0,0,0,0.207,0.032,0.242,0.057,0.277,0.263,0.264,0.239,49,0.5,-5.5,0,"SFG","C",17,0.178947368421053,0.195402298850575
"79",2023,"Mike Zunino","CLE",42,124,140,22,12,7,0,3,11,11,15,0,61,1,0,0,3,0,0,0.177,0.107,0.436,0.129,0.317,0.271,0.306,0.261,64,-1.7,-7.8,-0.2,"CLE","C",14,0.1,0.112903225806452
"80",2023,"Tucker Barnhart","CHC",47,109,123,22,18,3,0,1,6,9,12,0,42,1,1,0,4,1,0,0.202,0.098,0.341,0.055,0.313,0.285,0.257,0.25,53,-1.3,-8.4,0.2,"CHC","C",14,0.113821138211382,0.128440366972477
"81",2023,"Tyler Soderstrom","OAK",45,125,138,20,16,1,0,3,9,7,11,0,43,1,1,0,6,0,0,0.16,0.08,0.312,0.08,0.213,0.232,0.24,0.216,35,-2.1,-12.8,-1,"OAK","C",14,0.101449275362319,0.112
"82",2023,"Logan Porter","KCR",11,31,38,6,4,1,0,1,4,3,5,0,11,1,0,1,2,0,0,0.194,0.132,0.289,0.129,0.263,0.324,0.323,0.297,83,-1.4,-2.2,0.1,"KCR","C",11,0.289473684210526,0.354838709677419
"83",2023,"Jorge Alfaro","2 Tms",18,48,52,7,2,4,0,1,2,4,2,0,15,2,0,0,3,0,0,0.146,0.038,0.288,0.146,0.188,0.212,0.292,0.223,23,-0.9,-5.8,-0.4,"2 Tms","C",7,0.134615384615385,0.145833333333333
"84",2023,"Luis Torrens","2 Tms",18,28,30,7,4,3,0,0,1,4,1,0,9,1,0,0,0,0,0,0.25,0.033,0.3,0.107,0.368,0.3,0.357,0.289,82,0,-0.7,-0.1,"2 Tms","C",7,0.233333333333333,0.25
"85",2023,"Manny Piña","OAK",4,12,12,3,2,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0.25,0,0.25,0.25,0.25,0.25,0.5,0.314,103,-0.3,-0.3,0,"OAK","C",5,0.416666666666667,0.416666666666667
"86",2023,"Anthony Bemboom","BAL",6,11,13,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.154,0.154,0,0.222,0.308,0.182,0.243,52,0.1,-0.7,0,"BAL","C",2,0.153846153846154,0.181818181818182
"87",2023,"Brian O'Keefe","SEA",8,19,21,2,0,2,0,0,0,2,2,0,7,0,0,0,2,0,0,0.105,0.095,0.333,0.105,0.167,0.19,0.211,0.185,13,-0.3,-2.5,-0.2,"SEA","C",1,0.0476190476190476,0.0526315789473684
"88",2023,"Korey Lee","CHW",24,65,70,5,3,1,0,1,4,3,5,0,20,0,0,0,0,0,0,0.077,0.071,0.286,0.062,0.091,0.143,0.138,0.134,-27,0.2,-10.4,-0.7,"CHW","C",1,0.0142857142857143,0.0153846153846154
"89",2023,"Roberto Pérez","SFG",5,15,17,2,2,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0.133,0.118,0.353,0,0.222,0.235,0.133,0.186,13,0.1,-1.8,-0.1,"SFG","C",-1,-0.0588235294117647,-0.0666666666666667
"90",2023,"Chadwick Tromp","ATL",6,16,16,2,1,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0.125,0,0.438,0.063,0.222,0.125,0.188,0.133,-27,0.1,-2.4,-0.2,"ATL","C",-2,-0.125,-0.125
"91",2023,"César Salazar","HOU",13,18,19,2,2,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0.111,0.053,0.316,0,0.167,0.158,0.111,0.13,-28,-0.1,-3,-0.2,"HOU","C",-2,-0.105263157894737,-0.111111111111111
"92",2023,"Sandy León","TEX",22,41,44,6,4,2,0,0,4,4,1,0,20,1,0,1,2,0,0,0.146,0.023,0.455,0.049,0.286,0.186,0.195,0.173,-1,-0.4,-5.8,-0.4,"TEX","C",-3,-0.0681818181818182,-0.0731707317073171
"93",2023,"Tomás Nido","NYM",22,56,61,7,7,0,0,0,5,1,2,0,18,0,1,2,2,0,0,0.125,0.033,0.295,0,0.179,0.153,0.125,0.128,-24,-0.2,-9.6,-0.7,"NYM","C",-3,-0.0491803278688525,-0.0535714285714286
"94",2023,"Brian Serven","COL",11,23,23,3,2,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0.13,0,0.435,0.043,0.231,0.13,0.174,0.131,-42,-0.1,-4.2,-0.3,"COL","C",-5,-0.217391304347826,-0.217391304347826
"95",2023,"Cam Gallagher","CLE",56,143,149,18,12,6,0,0,6,7,4,0,46,1,1,0,3,0,0,0.126,0.027,0.309,0.042,0.184,0.154,0.168,0.145,-17,-1,-21.8,-1,"CLE","C",-5,-0.0335570469798658,-0.034965034965035
