"","X1B.Season","X1B.Name","X1B.Team.x","X1B.G","X1B.AB","X1B.PA","X1B.H","X1B.B1","X1B.B2","X1B.B3","X1B.HR","X1B.R","X1B.RBI","X1B.BB","X1B.IBB","X1B.SO","X1B.HBP","X1B.SF","X1B.SH","X1B.GDP","X1B.SB","X1B.CS","X1B.AVG","X1B.BB_perc","X1B.K_perc","X1B.ISO","X1B.BABIP","X1B.OBP","X1B.SLG","X1B.wOBA","X1B.wRC.","X1B.BsR","X1B.Off","X1B.WAR","X1B.Team.y","X1B.Position","X1B.score","X1B.perPA","X1B.perAB"
"20",2023,"Jeimer Candelario","2 Tms",140,505,576,127,63,39,3,22,77,70,53,1,127,13,4,0,11,8,1,0.251,0.092,0.22,0.22,0.292,0.336,0.471,0.346,117,1.2,13.3,3.3,"CHC","1B",320,0.555555555555556,0.633663366336634
"21",2023,"Joey Meneses","WSN",154,611,657,168,118,36,1,13,71,89,38,0,130,5,3,0,15,0,0,0.275,0.058,0.198,0.126,0.329,0.321,0.401,0.314,96,-4.2,-7.8,-0.2,"WSN","1B",313,0.476407914764079,0.51227495908347
"22",2023,"Andrew Vaughn","CHW",152,566,615,146,93,30,2,21,67,80,36,0,129,11,2,0,15,0,0,0.258,0.059,0.21,0.171,0.299,0.314,0.429,0.321,103,-6.1,-4,0.3,"CHW","1B",297,0.482926829268293,0.524734982332155
"23",2023,"Wilmer Flores","SFG",126,405,454,115,70,22,0,23,51,60,41,1,63,5,3,0,13,0,0,0.284,0.09,0.139,0.225,0.286,0.355,0.509,0.368,136,-2.4,17.6,2.5,"SFG","1B",296,0.651982378854626,0.730864197530864
"24",2023,"Jake Burger","2 Tms",141,492,540,123,60,28,1,34,71,80,32,0,149,12,4,0,4,1,1,0.25,0.059,0.276,0.268,0.284,0.309,0.518,0.349,120,1.1,14.6,2.5,"CHW","1B",290,0.537037037037037,0.589430894308943
"25",2023,"Triston Casas","BOS",132,429,502,113,66,21,2,24,66,65,70,2,126,1,2,0,7,0,0,0.263,0.139,0.251,0.226,0.317,0.367,0.49,0.367,129,-2.1,15.6,1.7,"BOS","1B",287,0.571713147410359,0.668997668997669
"26",2023,"Josh Bell","2 Tms",150,547,617,135,85,28,0,22,52,74,63,2,134,2,3,0,13,0,1,0.247,0.102,0.217,0.172,0.287,0.325,0.419,0.323,105,-5,-1.4,0.4,"2 Tms","1B",286,0.46353322528363,0.522851919561243
"27",2023,"Ty France","SEA",158,587,665,147,103,32,0,12,79,58,43,0,117,34,1,0,25,1,0,0.25,0.065,0.176,0.116,0.294,0.337,0.366,0.315,104,-9.8,-7,0.5,"SEA","1B",279,0.419548872180451,0.475298126064736
"28",2023,"Brandon Drury","LAA",125,485,523,127,68,30,3,26,61,83,25,0,136,8,5,0,14,0,2,0.262,0.048,0.26,0.235,0.308,0.306,0.497,0.339,114,-4.1,4.7,2.5,"LAA","1B",274,0.523900573613767,0.564948453608247
"29",2023,"LaMonte Wade Jr.","SFG",135,429,519,110,77,14,2,17,64,45,76,3,95,6,4,4,4,2,0,0.256,0.146,0.183,0.161,0.29,0.373,0.417,0.347,122,-0.2,13.7,2.1,"SFG","1B",274,0.527938342967245,0.638694638694639
"30",2023,"José Abreu","HOU",141,540,594,128,86,23,1,18,62,90,42,1,130,6,6,0,16,0,1,0.237,0.071,0.219,0.146,0.276,0.296,0.383,0.295,86,-4.1,-13.8,-0.6,"HOU","1B",272,0.457912457912458,0.503703703703704
"31",2023,"Nolan Jones","COL",106,367,424,109,63,22,4,20,60,62,53,3,126,3,1,0,1,20,4,0.297,0.125,0.297,0.245,0.401,0.389,0.542,0.395,135,3,21.4,3.7,"COL","1B",271,0.639150943396226,0.73841961852861
"32",2023,"Mauricio Dubón","HOU",132,467,492,130,91,26,3,10,76,46,19,0,70,3,3,0,10,7,2,0.278,0.039,0.142,0.133,0.308,0.309,0.411,0.311,97,0.1,-1.6,1.9,"HOU","1B",270,0.548780487804878,0.578158458244111
"33",2023,"Mark Canha","2 Tms",139,435,507,114,77,25,1,11,51,62,49,1,79,17,6,0,11,11,1,0.262,0.097,0.156,0.138,0.293,0.355,0.4,0.333,111,0.9,7.7,1.6,"2 Tms","1B",269,0.530571992110454,0.618390804597701
